location_id,name,type,campus,subzone,capacity,peak_demand_weight,morning_demand_weight,lunch_demand_weight,evening_demand_weight,night_demand_weight
hostel_b_block5,Block 5 (Nilgiri),hostel_boys,EAST,East Campus - Boys Hostels,250,0.85,0.85,0.25,0.80,0.50
hostel_b_block6,Block 6 (Pushpagiri),hostel_boys,EAST,East Campus - Boys Hostels,250,0.85,0.85,0.25,0.80,0.50
hostel_b_block7,Block 7 (Sahyadri),hostel_boys,EAST,East Campus - Boys Hostels,300,0.85,0.85,0.25,0.80,0.50
hostel_b_block8,Block 8 (Trishul),hostel_boys,EAST,East Campus - Boys Hostels,300,0.85,0.85,0.25,0.80,0.50
hostel_b_mt1,Mega Tower 1 (Everest),hostel_boys,EAST,East Campus - Boys Hostels,500,0.90,0.90,0.30,0.85,0.55
hostel_b_mt2,Mega Tower 2 (Himalaya),hostel_boys,EAST,East Campus - Boys Hostels,500,0.90,0.90,0.30,0.85,0.55
hostel_b_mt3,Mega Tower 3 (Kailash),hostel_boys,EAST,East Campus - Boys Hostels,500,0.90,0.90,0.30,0.85,0.55
hostel_b_brahmagiri,Brahmagiri PG Hostel,hostel_boys,EAST,East Campus - Boys Hostels,350,0.80,0.80,0.30,0.75,0.45
hostel_b_shivalik,Shivalik (XI Hostel),hostel_boys,EAST,East Campus - Boys Hostels,300,0.80,0.80,0.30,0.75,0.45
hostel_g_gh1,GH 1 (Ganga),hostel_girls,EAST,East Campus - Girls Hostels,250,0.85,0.85,0.25,0.80,0.50
hostel_g_gh2,GH 2 (Kaveri),hostel_girls,EAST,East Campus - Girls Hostels,250,0.85,0.85,0.25,0.80,0.50
hostel_g_gh3,GH 3 (Yamuna),hostel_girls,EAST,East Campus - Girls Hostels,250,0.85,0.85,0.25,0.80,0.50
hostel_g_gh4,GH 4 (Sharavathi),hostel_girls,EAST,East Campus - Girls Hostels,300,0.85,0.85,0.25,0.80,0.50
hostel_g_gh5,GH 5 (Netravathi),hostel_girls,EAST,East Campus - Girls Hostels,350,0.85,0.85,0.25,0.80,0.50
hostel_g_gh6,GH 6 (Godavari),hostel_girls,EAST,East Campus - Girls Hostels,350,0.85,0.85,0.25,0.80,0.50
mess_gb,GB Mess,mess,EAST,East Campus - Dining Zone,350,0.90,0.75,0.95,0.85,0.15
mess_pg_new_brahmagiri,PG-New Brahmagiri,mess,EAST,East Campus - Dining Zone,300,0.90,0.75,0.90,0.85,0.15
mess_pg_pushpagiri,PG-Pushpagiri,mess,EAST,East Campus - Dining Zone,300,0.90,0.75,0.90,0.85,0.15
mess_b1_karavali,B1: Karavali,mess,EAST,East Campus - Dining Zone,250,0.90,0.75,0.90,0.85,0.15
mess_b2_aravali,B2: Aravali,mess,EAST,East Campus - Dining Zone,250,0.90,0.75,0.90,0.85,0.15
mess_b3_vindhya,B3: Vindhya,mess,EAST,East Campus - Dining Zone,250,0.90,0.75,0.90,0.85,0.15
mess_b4_satpura,B4: Satpura,mess,EAST,East Campus - Dining Zone,250,0.90,0.75,0.90,0.85,0.15
mess_b5_nilgiri,B5: Nilgiri,mess,EAST,East Campus - Dining Zone,250,0.90,0.75,0.90,0.85,0.15
mess_b7_sahyadri,B7: Sahyadri,mess,EAST,East Campus - Dining Zone,300,0.90,0.75,0.90,0.85,0.15
mess_b8_trishul,B8: Trishul,mess,EAST,East Campus - Dining Zone,300,0.90,0.75,0.90,0.85,0.15
mess_mega,Mega Mess,mess,EAST,East Campus - Dining Zone,650,0.95,0.80,0.95,0.90,0.20
